1, -1.000000, -1.000000, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan
12, 0.473000, 2121.095945, 1.244471e+01, 3.834196e+00, 2.751615e-02, 3.311572e+00, 3.345615e-01, 1.441460e-01, 2.921513e-01, 1.018927e-01, 8.595430e-04, 8.985588e-02, 1.726061e-01, 1.395867e-01, 4.715903e-01, 1.351175e-01, 6.750321e-04, 2.390929e-01
13, 0.762000, 4497.902885, 1.076050e+01, 2.939673e+00, 2.029313e-02, 2.209811e+00, 2.867196e-01, 9.188522e-02, 2.710103e-01, 6.719420e-02, 1.610277e-02, 8.503897e-02, 6.228658e-03, 1.699057e-02, 4.997052e-01, 7.562101e-02, 2.671920e-01, 9.388369e-02
14, 0.596000, 3604.924840, 9.259396e+00, 7.499927e+00, 1.255714e-02, 3.289877e+00, 2.452467e-01, 1.596979e-01, 3.481702e-01, 1.233628e-01, 1.420179e-01, 1.264621e-01, 1.124913e-02, 1.491137e-01, 4.826291e-01, 1.165449e-01, 5.215710e-01, 1.766368e-01
15, 0.725000, 5038.521454, 7.815633e+00, 7.386480e-01, 2.044030e-02, 3.011782e-02, 3.792728e-01, 1.278036e-02, 2.304798e-01, 1.145455e-02, 5.109270e-03, 2.009014e-02, 1.890940e-03, 1.815941e-02, 5.235851e-01, 1.150207e-02, 3.298907e-01, 2.474504e-02
16, 0.814000, 2641.853892, 9.822855e+00, 3.270548e-01, 3.814515e-02, 1.309920e-02, 2.597544e-01, 8.480078e-03, 2.313486e-01, 5.764913e-03, 2.718027e-03, 6.027688e-03, 1.979926e-02, 9.680499e-03, 4.310577e-01, 4.056422e-03, 4.331698e-06, 2.797183e-02
17, 0.877000, 1115.573462, 1.503245e+01, 3.455669e+00, 1.870666e-02, 1.913390e-01, 3.688259e-01, 5.506269e-02, 3.098144e-01, 1.735045e-02, 3.296194e-02, 8.059254e-02, 2.391693e-01, 7.960007e-02, 5.016863e-01, 3.669135e-02, 2.277298e-01, 7.619828e-02
18, 0.808000, 3933.422446, 1.245979e+01, 1.233338e+01, 3.449901e-02, 5.773304e+00, 3.212421e-01, 2.268577e-01, 2.327096e-01, 1.341980e-01, 8.353920e-02, 1.167375e-01, 6.853212e-08, 1.077339e-01, 1.601279e-04, 1.102912e-01, 2.135046e-09, 1.760587e-01
19, 0.707000, 3764.891053, 1.007208e+01, 7.419949e+00, 2.221824e-02, 3.940857e+00, 2.504483e-01, 1.966475e-01, 2.697756e-01, 1.290915e-01, 3.029951e-02, 1.134927e-01, 1.704657e-01, 1.115852e-01, 3.261269e-07, 1.128072e-01, 3.147337e-01, 2.115709e-01
20, 0.738000, 4137.156237, 1.474730e+01, 5.250037e+00, 3.132409e-02, 4.306026e+00, 2.618558e-01, 2.066583e-01, 2.438936e-01, 6.459517e-02, 7.597269e-04, 3.683293e-02, 7.310568e-08, 9.413162e-02, 5.793167e-02, 1.154634e-01, 3.155361e-01, 1.518038e-01
21, 0.970000, 2684.741889, 1.574888e+01, 3.947162e+00, 2.321489e-02, 3.629471e+00, 2.894252e-01, 1.726368e-01, 2.204351e-01, 1.563825e-01, 4.865973e-02, 1.004640e-01, 1.256921e-03, 9.445078e-02, 4.697628e-02, 7.297872e-02, 2.950937e-01, 5.498690e-02
22, 0.773000, 7483.011261, 1.128313e+01, 7.527290e+00, 8.398178e-03, 5.657134e+00, 5.044877e-01, 1.714361e-01, 3.221053e-01, 2.495533e-01, 9.351914e-02, 7.802498e-02, 7.476284e-02, 1.606610e-01, 5.234450e-01, 1.372054e-01, 4.710039e-05, 2.394835e-01
23, 0.930000, 3619.254364, 1.020253e+01, 1.550330e+01, 3.111999e-02, 5.553030e+00, 2.903753e-01, 2.020017e-01, 2.249224e-01, 1.846864e-01, 2.046119e-10, 9.482839e-02, 6.775932e-02, 8.906854e-02, 2.200449e-02, 7.759680e-02, 1.962963e-01, 1.164169e-01
24, 0.749000, 2956.480519, 1.463663e+01, 3.008757e+00, 3.059872e-02, 1.600971e+00, 2.594890e-01, 8.004959e-02, 2.191236e-01, 7.093026e-02, 6.344696e-02, 7.486602e-02, 2.079600e-01, 8.151182e-02, 3.666359e-04, 4.766883e-02, 1.368314e-03, 1.400838e-01
25, -1.000000, -1.000000, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan
26, 0.850000, 3531.826619, 1.080151e+01, 8.710635e+00, 3.409141e-02, 4.330647e+00, 3.768024e-01, 1.795726e-01, 1.537812e-01, 1.164603e-01, 4.440829e-02, 9.958634e-02, 6.849101e-02, 1.169274e-01, 6.187541e-05, 7.847817e-02, 2.642146e-06, 1.373136e-01
27, -1.000000, -1.000000, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan
28, 0.823000, 4989.110819, 1.088846e+01, 7.653063e+00, 3.406309e-02, 3.123994e+00, 2.991674e-01, 1.599221e-01, 1.755907e-01, 1.241257e-01, 1.078387e-02, 8.304339e-02, 4.915854e-05, 9.464639e-02, 5.692802e-02, 1.041080e-01, 2.519642e-01, 1.639713e-01
29, 0.840000, 2260.746608, 1.073652e+01, 2.982260e+00, 3.612653e-02, 8.021949e-01, 3.306496e-01, 7.978578e-02, 1.633712e-01, 2.251827e-02, 1.109157e-02, 6.361392e-02, 1.848177e-01, 2.543187e-02, 1.357596e-01, 3.139058e-02, 2.665396e-06, 3.911517e-02
30, 0.830000, 2907.029255, 1.043710e+01, 1.250049e+00, 3.607710e-02, 3.541357e+00, 3.581713e-01, 1.881476e-01, 1.699841e-01, 1.185889e-01, 2.207483e-04, 8.976958e-02, 4.232041e-02, 9.653128e-02, 1.296601e-01, 1.369231e-01, 3.179026e-04, 1.227230e-01
31, 0.740000, 3096.457240, 9.090415e+00, 5.292864e+00, 3.043753e-02, 5.087261e+00, 3.641778e-01, 3.132847e-01, 1.493332e-01, 3.097858e-01, 1.044732e-02, 3.942562e-01, 6.612980e-02, 4.028061e-01, 4.525341e-07, 4.285653e-01, 2.519430e-01, 2.905922e-01
32, 0.840000, 4700.291318, 1.023159e+01, 3.672629e+00, 4.030853e-02, 3.139039e+00, 3.099840e-01, 1.742255e-01, 1.750674e-01, 8.309102e-02, 5.891920e-06, 7.713277e-02, 2.185432e-05, 7.167087e-02, 2.041726e-02, 7.471937e-02, 2.094593e-01, 1.479270e-01
33, 0.782000, 2228.295844, 1.029532e+01, 8.484202e-01, 3.836452e-02, 3.300178e-02, 2.907031e-01, 1.245106e-02, 1.942195e-01, 7.625214e-03, 1.938949e-05, 3.854564e-02, 9.017425e-08, 8.544137e-03, 3.251814e-01, 9.422859e-03, 1.644859e-05, 4.319762e-02
34, 0.724000, 2640.468492, 9.736686e+00, 3.725106e+00, 3.613118e-02, 3.777955e+00, 3.655490e-01, 3.763727e-01, 1.420544e-01, 3.626440e-01, 2.311432e-02, 4.322838e-01, 1.098771e-01, 4.408169e-01, 1.243928e-01, 4.644874e-01, 1.774629e-01, 4.086398e-01
35, 0.789000, 1866.767814, 1.117577e+01, 2.511462e+00, 3.585205e-02, 1.151993e-01, 3.033305e-01, 3.510036e-02, 1.756151e-01, 1.874517e-02, 1.135189e-02, 8.279948e-02, 1.828092e-01, 1.190322e-02, 2.728635e-03, 3.760222e-02, 1.695629e-01, 4.354384e-02
36, 0.806000, 3009.528653, 1.178856e+01, 6.470094e+00, 3.894357e-02, 5.451282e+00, 2.835246e-01, 1.478394e-01, 1.977465e-01, 1.318993e-01, 9.907768e-10, 6.455815e-02, 8.216346e-02, 5.675582e-02, 1.295582e-09, 7.253250e-02, 1.750253e-01, 1.904633e-01
37, 0.905000, 1918.019025, 1.446451e+01, 1.162955e+01, 3.659944e-02, 2.207496e+00, 2.950821e-01, 6.204076e-02, 2.298632e-01, 4.450700e-02, 4.577042e-05, 1.070621e-01, 5.193678e-02, 7.779870e-02, 2.522289e-01, 1.337038e-02, 3.951514e-04, 5.985583e-02
38, 0.793000, 2505.956620, 1.152340e+01, 2.957119e+00, 3.925632e-02, 4.936008e+00, 2.746902e-01, 1.884051e-01, 2.300503e-01, 1.538830e-01, 1.807634e-04, 7.105059e-02, 1.550443e-01, 1.663033e-01, 1.280135e-01, 1.376516e-01, 9.581908e-02, 1.781992e-01
39, 0.774000, 4993.675345, 1.381616e+01, 1.999232e+01, 5.325977e-02, 6.022323e+00, 2.379467e-01, 1.760449e-01, 2.415510e-01, 1.585372e-01, 1.622996e-02, 1.109362e-01, 6.425946e-02, 9.881612e-02, 1.024999e-02, 8.549488e-02, 2.854965e-02, 2.189141e-01
40, 0.722000, 5507.872333, 1.236767e+01, 5.011677e+00, 5.219351e-02, 7.363801e-02, 2.149648e-01, 1.933569e-02, 2.561559e-01, 1.564509e-02, 1.390316e-01, 5.520040e-02, 3.109898e-01, 2.434910e-02, 1.198567e-02, 2.406473e-02, 1.823528e-01, 1.039220e-01
41, 0.544000, 4884.651562, 8.185716e+00, 8.165989e+00, 5.330887e-02, 8.371475e-02, 2.187682e-01, 7.262690e-02, 3.455664e-01, 6.280374e-02, 1.809653e-01, 1.451586e-01, 4.332432e-01, 1.586910e-01, 1.392709e-07, 1.528866e-01, 2.840547e-01, 2.499897e-01
42, 0.867000, -1.000000, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan, -1.000000e+00, -nan
43, 0.851000, 3021.612169, 9.782954e+00, 7.194749e+00, 2.559160e-02, 5.116529e+00, 3.783080e-01, 2.170355e-01, 1.705612e-01, 1.342989e-01, 3.360517e-02, 9.108257e-02, 1.646801e-01, 1.245045e-01, 8.938228e-02, 9.420864e-02, 1.884294e-01, 1.638277e-01
44, 0.820000, 3133.179744, 1.020916e+01, 4.648985e+00, 2.800590e-02, 2.788561e+00, 4.510198e-01, 2.036957e-01, 1.013945e-01, 1.440291e-01, 2.154333e-02, 1.094466e-01, 3.153560e-04, 1.018327e-01, 3.372977e-06, 9.865995e-02, 2.528197e-02, 1.300374e-01
45, 0.769000, 21325.374418, 1.009857e+01, 5.373710e+00, 8.397857e-12, 4.347632e+00, 5.236000e-01, 1.690769e-01, 2.959466e-01, 1.813831e-01, 3.052725e-01, 8.150289e-02, 2.102677e-13, 1.220532e-01, 5.236000e-01, 1.137211e-01, 5.224486e-01, 1.776342e-01
46, 0.861000, 6089.357879, 9.495354e+00, 5.296985e+00, 3.176400e-02, 3.232371e+00, 3.732062e-01, 1.707818e-01, 1.589451e-01, 1.464391e-01, 3.076791e-03, 6.738565e-02, 2.086517e-02, 9.671032e-02, 1.377700e-01, 9.905009e-02, 2.013748e-01, 1.401086e-01
47, 0.886000, 2860.706799, 1.191907e+01, 7.418943e+00, 3.085570e-02, 3.431842e+00, 3.258998e-01, 1.696955e-01, 1.857076e-01, 1.250929e-01, 8.319368e-07, 5.280473e-02, 9.968062e-02, 1.287812e-01, 2.189120e-07, 1.161728e-01, 2.024415e-01, 9.847245e-02
48, 0.656000, 2713.217611, 1.240929e+01, 4.176007e+00, 3.076796e-02, 4.225345e+00, 3.822488e-01, 9.134029e-02, 1.446978e-01, 1.403982e-01, 8.614088e-06, 1.211442e-01, 4.413377e-03, 7.555494e-02, 2.182532e-06, 8.251465e-02, 2.848688e-01, 2.532301e-01
49, 0.698000, 1495.525440, 1.037719e+01, 9.197937e-01, 5.591526e-02, 1.117639e-01, 3.324215e-01, 2.104898e-02, 1.991253e-01, 1.153921e-02, 7.584566e-03, 3.238927e-02, 7.231101e-03, 1.191092e-02, 2.899385e-04, 1.804900e-02, 8.868024e-02, 3.767453e-02
50, 0.798000, -1.000000, -1.000000e+00, 2.372874e+00, -1.000000e+00, 1.819876e+00, -1.000000e+00, 2.725864e-01, -1.000000e+00, 1.651414e-01, -1.000000e+00, 1.630661e-01, -1.000000e+00, 1.914061e-01, -1.000000e+00, 6.150309e-02, -1.000000e+00, 1.469457e-01
51, 0.947000, 1886.719704, 1.226505e+01, 4.727152e+00, 2.095272e-02, 1.747179e+00, 2.856334e-01, 1.440862e-01, 2.014192e-01, 8.406078e-02, 2.941698e-03, 8.835030e-02, 9.902560e-04, 9.034658e-02, 2.534664e-05, 5.179634e-02, 3.198577e-01, 3.857715e-02
52, 0.909000, 9298.767383, 7.836959e+00, 7.839348e+00, 3.020115e-02, 2.046848e+00, 4.569740e-01, 1.639073e-01, 7.517698e-02, 1.515895e-01, 3.363708e-02, 1.100848e-01, 8.806220e-02, 5.281318e-02, 1.706113e-02, 5.573126e-02, 7.288773e-02, 1.109365e-01
53, 0.860000, 2131.582326, 8.908165e+00, 8.242229e+00, 3.747145e-02, 3.793919e+00, 4.246789e-01, 1.846203e-01, 1.028338e-01, 2.149609e-01, 2.536126e-02, 1.069085e-01, 3.812669e-03, 1.219396e-01, 1.007988e-01, 1.126424e-01, 2.281855e-02, 1.178601e-01
54, 0.906000, 6578.467908, 9.692262e+00, 8.087882e+00, 2.852111e-02, 4.435240e+00, 4.650048e-01, 1.989077e-01, 8.881021e-02, 2.349268e-01, 7.909724e-07, 1.249661e-01, 8.687126e-03, 1.333028e-01, 3.264071e-03, 1.193748e-01, 5.953867e-06, 1.695651e-01
55, 0.913000, 2189.935524, 9.466217e+00, 1.746633e+00, 3.657855e-02, 7.842094e-01, 2.061968e-01, 5.808514e-02, 2.553152e-01, 3.616703e-02, 2.220598e-03, 2.362516e-02, 3.216657e-06, 4.200524e-02, 5.232547e-01, 3.784506e-02, 2.979795e-02, 2.015700e-02
56, 0.745000, 5020.019587, 1.448153e+01, 7.162704e-01, 3.098871e-02, 4.400500e-02, 2.242706e-01, 8.519622e-03, 2.483730e-01, 5.902090e-03, 1.826314e-08, 3.966460e-02, 7.780350e-03, 2.293912e-02, 9.086493e-02, 1.036086e-02, 2.684239e-01, 1.050553e-02
